Anglican Nonconformist
legibly illegibly
legislate impose
legislate promulgate
legitimacy illegitimacy
legitimate illegitimate
legitimately illegitimately
legitimize outlaw
legitimize reform
legitimize undermine
legless legged
lend borrow
lend donate
lend grant
lend loan
lend offer
lend_oneself defy
lender borrower
lengthen shorten
lengthwise crosswise
lentic lotic
leptorrhine catarrhine
leptorrhine platyrrhine
leptosporangiate eusporangiate
less more
lessen exacerbate
lessen heighten
lessen increase
lessen worsen
lesser greater
let believe
let hate
let keep
let know
let prevent
let watch
let_go_of hold
let_out take_in
lethargic energetic
level devastate
level raise
leverage hedge
levitation gravitation
levity gravity
levorotation dextrorotation
levy exempt
levy propose
levy suspend
liability asset
liar square_shooter
libel slander
liberal conservative
liberality illiberality
liberalize restrict
liberalize tighten
liberate recapture
liberator captor
libertarian necessitarian
licit illicit
licitly illicitly
licitness illicitness
lidded lidless
lidless lidded
lie sit
lie stand
lie_down arise
lift impose
lift slide
light dark
light heavy
light-duty heavy-duty
light-footed heavy-footed
lighted unlighted
lighten darken
lighten lessen
lighten weigh_down
lightly heavily
lightness darkness
lightness heaviness
like dislike
like find
like get
like keep
like prefer
like see
like unlike
liked disliked
likelihood unlikelihood
likeliness unlikeliness
likely unlikely
liken call
liken consider
likeness unlikeness
liking dislike
limbed limbless
limbless limbed
limit broaden
limit expand
limit forbid
limit increase
limit maximize
limited unlimited
line bounce
line crowd
lineal collateral
linear cubic
linear nonlinear
linear planar
linearly geometrically
lined unlined
linger rush
linguistic nonlinguistic
lipless lipped
lipped lipless
liquid gaseous
liquid solid
liquidate auction
liquidate merge
liquidate recapitalize
liquidate refinance
liquidate restructure
list recommend
listed unlisted
listed_security unlisted_security
literacy illiteracy
literal figurative
literalize spiritualize
literally figuratively
literate illiterate
little big
little much
littleness bigness
livable unlivable
live dead
live recorded
live spend
live_birth stillbirth
live_in live_out
live_out live_in
liveborn_infant stillborn_infant
lively dull
liveried unliveried
living dead
loaded unloaded
loading unloading
loamless loamy
loamy loamless
loan grant
loan lend
loathe adore
lob fire
lob hurl
local express
local general
local national
localize standardize
location studio
lock unlock
lodge dislodge
lodge reject
log_in log_out
log_out log_in
logical illogical
logicality illogicality
logically illogically
logicalness illogicalness
long short
long-spurred short-spurred
longness shortness
look_down_on admire
loose compact
loose tight
loosen repeal
loosen sever
loosen stiffen
loosen strengthen
loosen tighten
looseness fixedness
looseness tightness
loosening tightening
loot shell
lose break_even
lose find
lose gain
lose keep
lose lack
lose need
lose profit
lose regain
lose retain
lose score
lose win
lose_track keep_track
loser achiever
loser winner
losings winnings
loss gain
lossless lossy
lossy lossless
lost found
lost saved
lost won
lotic lentic
loud soft
louden quieten
loudly softly
loudness softness
lovable hateful
love despise
love do
love get
love hate
love have
love see
loved unloved
loving unloving
low high
low-interest high-interest
low-resolution high-resolution
low-rise high-rise
low-sudsing high-sudsing
low-tech high-tech
low-tension high-tension
low_explosive high_explosive
low_pitch high_pitch
low_quality high_quality
low_relief high_relief
low_spirits high
low_status high_status
low_tide high_tide
lowborn noble
lower raise
lower-class middle-class
lower-class upper-class
lowercase uppercase
lowered raised
lowland highland
lowland upland
lowness highness
loyal disloyal
loyally disloyally
loyalty disloyalty
lubricated unlubricated
luckily unluckily
lucky unlucky
lumper splitter
lyric dramatic
machine-made handmade
machine_wash handwash
made unmade
magnetic antimagnetic
magnetic geographic
magnetic nonmagnetic
magnetise demagnetise
magnetize demagnetize
magnify lessen
mail deliver
major minor
major_surgery minor_surgery
majority minority
majuscule minuscule
make accept
make break
make unmake
make_peace war
maladaptive adaptive
maladjusted adjusted
maladroit adroit
maladroitly adroitly
malapropos apropos
male androgynous
male female
male_aristocrat female_aristocrat
male_child female_child
male_monarch female_monarch
male_offspring female_offspring
male_parent female_parent
male_sibling female_sibling
maleficence beneficence
maleficent beneficent
maleness femaleness
malevolence benevolence
malevolently benevolently
malfunction function
malfunctioning functioning
malicious unmalicious
malign benign
malignancy benignancy
malignant benign
malignity benignity
malleability unmalleability
malnourished nourished
malodorous fragrant
malted unmalted
man woman
manage fail
manageable unmanageable
manageably unmanageably
manfully unmanfully
manipulate disregard
manly unmanly
manned unmanned
manual automatic
manufacture import
manufacture purchase
manufacture smuggle
many few
margin_account cash_account
marginality centrality
marinate brine
mark_down mark_up
mark_up mark_down
marked unmarked
market_economy non-market_economy
married unmarried
marry adore
marry wed
masculine feminine
masculine neuter
masculinity femininity
mash bake
mash cube
mash slice
mask imply
mask mirror
mask unmask
masochist sadist
masochistic sadistic
massacre detain
massacre expel
matched mismatched
mate clone
mated unmated
material immaterial
materialise dematerialise
materiality immateriality
materialize dematerialize
maternal paternal
matriarchal patriarchal
mature immature
maturely immaturely
maturity immaturity
maxi midi
maxi mini
maximal minimal
maximally minimally
maximise minimise
maximization minimization
maximize curtail
maximize limit
maximize minimize
maximum minimum
meager ample
meagerly amply
mean entail
meaningful meaningless
meaningfulness meaninglessness
meaningless meaningful
meaninglessness meaningfulness
measurable immeasurable
measurably immeasurably
meatless meaty
meaty meatless
mechanical nonmechanical
mediacy immediacy
mediate immediate
medical surgical
medulla cortex
meet warn
melodious unmelodious
melodiously unmelodiously
melt salt
melted unmelted
member nonmember
membered memberless
memberless membered
memorably unmemorably
memorize guess
memorize improvise
mendacity veracity
mental physical
mental_health mental_illness
mental_illness mental_health
merciful merciless
mercifulness mercilessness
merciless merciful
mercilessness mercifulness
merge buy
merge liquidate
merge sell
merit demerit
merit_system spoils_system
merited unmerited
mesial distal
mesic hydric
mesic xeric
mesomorphic ectomorphic
mesomorphic endomorphic
mess screw
metabolic ametabolic
metallic nonmetallic
metamorphic nonmetamorphic
middle beginning
middle early
middle end
middle late
middle-class lower-class
middle-class upper-class
midi maxi
midi mini
migratory nonmigratory
mild intense
militarise demilitarise
militarize demilitarize
military civilian
military unmilitary
mimic simulate
mince cube
mince powder
mince sliver
mince taste
mind forget
mindful unmindful
mindfully unmindfully
mindfulness unmindfulness
mined unmined
mini maxi
mini midi
minimal maximal
minimally maximally
minimise maximise
minimise offset
minimization maximization
minimize maximize
minimize overstate
minimum maximum
minor major
minor_surgery major_surgery
minority majority
minus plus
minuscule majuscule
mirror influence
mirror mask
misappropriate embezzle
misappropriate solicit
misbehave behave
miscarry carry_to_term
miscible immiscible
misconception conception
misconstruction construction
misconstrue misunderstand
misfortune good_fortune
misinterpret cite
misinterpret disregard
misinterpret ignore
misinterpret misread
mismatched matched
misogyny philogyny
misread ignore
misread misinterpret
misread misunderstand
misread read
misrepresent ignore
misrepresent misinterpret
misrepresent misunderstand
miss attend
miss catch
miss get
miss grab
miss have
miss hit
miss kick
miss nail
miss score
miss shoot
miss swish
miss throw
misspell omit
misstate omit
mist twinkle
mistrust trust
misunderstand disrespect
misunderstand ignore
misunderstand misconstrue
misunderstand misread
misunderstand misrepresent
misused used
mitigated unmitigated
mobile immobile
mobile stabile
mobilise demobilise
mobility immobility
mobilization demobilization
mobilize demobilize
moderate immoderate
moderately immoderately
moderating intensifying
moderation immoderation
modern nonmodern
modern old_style
modernize dismantle
modest immodest
modestly immodestly
modesty immodesty
modifiable unmodifiable
modified unmodified
modify enact
modulated unmodulated
molar molecular
molecular molar
monaural binaural
monaurally binaurally
monetization demonetization
moneyed moneyless
moneyless moneyed
monism pluralism
monochromatic polychromatic
monoclinic triclinic
monoclinous diclinous
monocotyledonous dicotyledonous
monoecious dioecious
monogamous polygamous
monolingual multilingual
mononuclear binucleate
mononuclear trinucleate
monophonic polyphonic
monophonic_music polyphonic_music
monophony polyphony
monosemy polysemy
monotheism polytheism
monotheistic polytheistic
monotonic nonmonotonic
monovalent polyvalent
moonless moonlit
moonlit moonless
moor berth
moor dock
moral immoral
morality immorality
morally immorally
more fewer
more less
mortal immortal
mortal_sin venial_sin
mortality immortality
most fewest
most least
mother father
motility immotility
motion motionlessness
motionlessness motion
motivate deter
motivate discourage
motivate distract
motivate hurt
motivated unmotivated
motorized unmotorized
mount repel
movability immovability
movableness immovableness
move stand_still
move stay
move_in move_out
move_out move_in
moved unmoved
moving nonmoving
moving still
moving unmoving
mow spray
mown unmown
much little
muff fumble
mulch sand
mull reject
multiculturalism nationalism
multidimensional unidimensional
multidimensional_language one-dimensional_language
multiform uniform
multilane single-lane
multilateral unilateral
multilaterally unilaterally
multilingual monolingual
multinucleate uninucleate
multiparous uniparous
multiple single
multiple-choice true-false
multiply divide
multiply mitigate
multiply singly
multivalent bivalent
multivalent univalent
murder assassinate
murmur scream
mushroom toadstool
musical unmusical
musically unmusically
mutability immutability
mutable immutable
mutableness immutableness
mutate inactivate
mutter yell
muzzle unmuzzle
myelinated unmyelinated
myopia hyperopia
mystify demystify
mythologize demythologize
nadir zenith
nail hit
nail kick
nail miss
naive sophisticated
naivete sophistication
narrow broaden
narrow expand
narrow wide
narrow widen
narrow-minded broad-minded
narrow-mindedly broad-mindedly
narrow-mindedness broad-mindedness
narrowing widening
narrowly broadly
narrowness wideness
nascent dying
nastiness niceness
nasty nice
national international
national local
nationalise denationalise
nationalism internationalism
nationalism multiculturalism
nationalization denationalization
nationalize denationalize
nationalize privatize
nationalize redistribute
native adopted
native foreign
native nonnative
nativeness foreignness
natural artificial
natural flat
natural sharp
natural supernatural
natural unnatural
natural_depression natural_elevation
natural_elevation natural_depression
natural_language artificial_language
natural_object artifact
naturalize denaturalize
naturalize deport
naturally artificially
naturally unnaturally
naturalness unnaturalness
nay yea
nazify denazify
neap_tide springtide
near far
nearness farness
nearsighted farsighted
necessarily unnecessarily
necessary unnecessary
necessitarian libertarian
necessitate obviate
necked neckless
neckless necked
need become
need keep
need lose
need possess
negate affirm
negate underscore
negative affirmative
negative neutral
negative positive
negative_charge positive_charge
negativeness positiveness
negativity positivity
neglect attend_to
neglect embrace
neglect emphasise
neglect exaggerate
negligent diligent
neighborliness unneighborliness
neighbour neighbor
nephew niece
nest hatch
net gross
neurotic unneurotic
neurotic_depression psychotic_depression
neuter feminine
neuter masculine
neutral negative
neutral positive
neutralize detonate
neutralize dismantle
never ever
never always
new old
new worn
newness oldness
nice nasty
niceness nastiness
nidicolous nidifugous
nidifugous nidicolous
niece nephew
night day
night_game day_game
night_school day_school
nitrify denitrify
no all
no some
no yes
no-go go
no_longer still
noble ignoble
noble lowborn
nobleman noblewoman
noblewoman nobleman
nocturnal diurnal
node antinode
noisily quietly
noisy quiet
nominal real
nominative oblique
nomothetic idiographic
non-dedicated_file_server dedicated_file_server
non-engagement engagement
non-invertible invertible
non-involvement involvement
non-market_economy market_economy
non-proliferation proliferation
non-volatile_storage volatile_storage
nonabsorbency absorbency
nonabsorbent absorbent
nonaddictive addictive
nonadhesive adhesive
nonadsorbent adsorbent
nonalcoholic alcoholic
nonaligned aligned
nonalignment alignment
nonarbitrable arbitrable
nonarbitrary arbitrary
nonarboreal arboreal
nonassociative associative
nonastringent astringent
nonattendance attendance
nonbearing bearing
nonbeing being
nonbiodegradable_pollution biodegradable_pollution
noncausative causative
noncellular cellular
noncitizen citizen
noncivilized civilized
nonclassical classical
noncollapsible collapsible
noncolumned columned
noncombinative combinative
noncombustible combustible
noncommercial commercial
noncommissioned commissioned
noncompetitive competitive
noncompetitively competitively
noncompliance compliance
noncomprehensive comprehensive
noncomprehensively comprehensively
nonconductive conductive
nonconformism conformism
nonconformist conformist
nonconformity conformity
noncritical critical
noncrucial crucial
noncrystalline crystalline
noncurrent current
noncyclic cyclic
nondeductible deductible
nondevelopment development
nondisposable disposable
nondrinker drinker
nondriver driver
nonechoic echoic
noneffervescent effervescent
nonequivalence equivalence
nonexempt exempt
nonexistence existence
nonexistent existent
nonexploratory exploratory
nonexplosive explosive
nonextensile extensile
nonfat fatty
nonfatal fatal
nonfictional fictional
nonfinancial financial
nonfissile fissile
nonfissionable fissionable
nonfunctional functional
nonharmonic harmonic
nonhierarchical hierarchical
nonhuman human
nonimitative imitative
nonindulgent indulgent
nonindustrial industrial
noninfectious infectious
noninheritable inheritable
noninstitutional institutional
noninstitutionalized institutionalized
nonintegrated integrated
nonintellectual intellectual
noninterference interference
nonintervention intervention
noninvasive invasive
nonionic ionic
nonionized ionized
nonjudgmental judgmental
nonlinear linear
nonlinguistic linguistic
nonmagnetic magnetic
nonmechanical mechanical
nonmember member
nonmetallic metallic
nonmetamorphic metamorphic
nonmigratory migratory
nonmodern modern
nonmonotonic monotonic
nonmoving moving
nonnative native
nonobservance observance
nonoperational operational
nonparticipation participation
nonparticulate particulate
nonpartisan partisan
nonpasserine passerine
nonpayment payment
nonphotosynthetic photosynthetic
nonpolitical political
nonporous porous
nonpregnant pregnant
nonprehensile prehensile
nonprescription prescription
nonprofessional professional
nonproliferation proliferation
nonproprietary proprietary
nonpsychoactive psychoactive
nonracial racial
nonradioactive radioactive
nonrandom random
nonreciprocal reciprocal
nonreflective reflective
nonreligious_person religious_person
nonrepetitive repetitive
nonrepresentational representational
nonrepresentative representative
nonresident resident
nonresidential residential
nonreticulate reticulate
nonretractile retractile
nonreturnable returnable
nonreversible reversible
nonrigid rigid
nonruminant ruminant
nonsectarian sectarian
nonsignificant significant
nonsingular_matrix singular_matrix
nonslippery slippery
nonsmoker smoker
nonspatial spatial
nonspeaking speaking
nonspecific specific
nonspherical spherical
nonstandard standard
nonsteroidal steroidal
nonsubmersible submersible
nonsuppurative suppurative
nonsurgical surgical
nonsyllabic syllabic
nontaxable taxable
nontechnical technical
nonterritorial territorial
nonthermal thermal
nontoxic toxic
nontraditional traditional
nontranslational translational
nonuniformity uniformity
nonunion union
nonviolent violent
nonviolently violently
nonvolatile volatile
nonvolatile_storage volatile_storage
nonwashable washable
nonwoody woody
nonworker worker
normal abnormal
normal paranormal
normality abnormality
normotensive hypertensive
normotensive hypotensive
north south
northern southern
northernness southernness
nosed noseless
noseless nosed
notch score
note say
notice feel
notice ignore
notice sense
notice spot
noticeable unnoticeable
noticed unnoticed
nourished malnourished
noxious innocuous
nuclear conventional
nullify affirm
nullify amend
nullify clarify
nullify enforce
nullify override
nullify uphold
numerate innumerate
numerical verbal
obedience disobedience
obedient disobedient
obediently disobediently
obey defy
obey disobey
obey disregard
obey ignore
obey transgress
obey violate
obfuscate clarify
object endorse
object_program source_program
objective subjective
objectively subjectively
oblate prolate
obligate facultative
obligated unobligated
obligatorily optionally
obligatory optional
oblige disoblige
oblique nominative
oblique parallel
oblique perpendicular
oblique_angle right_angle
oblique_triangle right_triangle
obscure illuminate
obscure reflect
obscure underscore
obscurity clarity
obscurity prominence
observance nonobservance
obstruct free
obstruct pervert
obstructed unobstructed
obtrusive unobtrusive
obtrusively unobtrusively
obtrusiveness unobtrusiveness
obtuse acute
obtuseness acuteness
obverse reverse
obviate necessitate
obvious unobvious
occidentalise orientalise
occidentalize orientalize
occupied unoccupied
occupy destroy
occupy vacate
odd even
odd-toed_ungulate even-toed_ungulate
odorize deodorize
odorless odorous
odorous odorless
odourise deodourise
off on
off-line on-line
off-season high_season
off-site on-site
off-street on-street
offence defence
offend harm
offending unoffending
offense defense
offensive defensive
offensive inoffensive
offensively defensively
offensively inoffensively
official unofficial
officially unofficially
offset recoup
offshore inshore
offshore onshore
offside onside
offstage onstage
often rarely
oil butter
oil salt
oiled unoiled
old new
old young
old_style modern
oldness newness
oldness youngness
oleophilic oleophobic
oleophobic oleophilic
omit explain
omit misspell
omit misstate
omit outline
omit relate
omnidirectional directional
omnivorous carnivorous
omnivorous herbivorous
omnivorous insectivorous
on off
on-line off-line
on-site off-site
on-street off-street
on_the_one_hand on_the_other_hand
on_the_other_hand on_the_one_hand
one-dimensional_language multidimensional_language
one-piece three-piece
one-piece two-piece
onshore offshore
onside offside
onstage offstage
onymous anonymous
opacity clarity
opacity transparency
opaque clear
open close
open closed
open shut
open_chain closed_chain
open_circuit closed_circuit
open_interval closed_interval
open_up close_up
opening closing
openness closeness
operable inoperable
operational nonoperational
operative inoperative
opisthognathous prognathous
opportune inopportune
opportunely inopportunely
opportuneness inopportuneness
opposable unopposable
oppose accept
oppose advocate
oppose approve
oppose back
oppose consider
oppose endorse
oppose favor
oppose propose
oppose seek
oppose support
opposed unopposed
opposite alternate
oppress empower
optimism pessimism
optimist pessimist
optimistic pessimistic
optimistically pessimistically
optional obligatory
optionally obligatorily
orad aborad
oral aboral
oral anal
order disorder
ordered disordered
orderliness disorderliness
orderly disorderly
ordinal cardinal
ordinariness extraordinariness
ordinary extraordinary
organic functional
organic inorganic
organic_disorder functional_disorder
organically inorganically
organise disorganise
organize disorganize
organized disorganized
organized unorganized
orient disorient
orientalise occidentalise
orientalize occidentalize
oriented unoriented
orienting disorienting
original unoriginal
original_sin actual_sin
originality unoriginality
orthodox unorthodox
orthodoxy unorthodoxy
orthotropous campylotropous
ostentatious unostentatious
other same
otherworldliness worldliness
oust elect
out safe
out-basket in-basket
out_of_hand in_hand
outbid underbid
outboard inboard
outbred inbred
outdoor indoor
outdoors indoors
outer inner
outfield infield
outflow inflow
outgo income
outgoing incoming
outlast overcome
outlaw curb
outlaw legalize
outlaw permit
outlaw sanction
outpatient inpatient
outperform lag
outside inside
outsource centralize
outspan inspan
outward inward
outwardly inwardly
outwardness inwardness
over-the-counter_drug prescription_drug
over-the-counter_medicine prescription_medicine
overachievement underachievement
overact underact
overbid underbid
overcast clear_up
overcharge undercharge
overcome outlast
overdress underdress
overemphasize underestimate
overestimate expect
overestimate overstate
overestimate underestimate
overestimate understate
overexpose underexpose
overgarment undergarment
overhand underhand
overhaul privatize
overhead subsurface
overhead surface
overpay owe
overpay underpay
override amend
override approve
override disregard
override ignore
override nullify
override ratify
override reject
overrule affirm
overrule ignore
overrule uphold
overrun attack
overrun encircle
overshadow diminish
overshoot undershoot
overspend underspend
overstate downplay
overstate exaggerate
overstate ignore
overstate minimize
overstate overestimate
overstate underestimate
overstate understate
overstatement understatement
overstock understock
overt covert
overtime regulation_time
overtly covertly
overturn affirm
overturn block
overturn enforce
overturn uphold
overvalue undervalue
overwrite uninstall
oviparous ovoviviparous
oviparous viviparous
ovoviviparous oviparous
ovoviviparous viviparous
ovulation anovulation
owe receive
own divest
own lease
own rent
owned unowned
oxidise deoxidise
oxidize deoxidize
pack unpack
packaged unpackaged
paid unpaid
pain pleasure
painful painless
painfully painlessly
painless painful
painlessly painfully
paint found
paintable unpaintable
painted unpainted
pair feature
palatability unpalatability
palatable unpalatable
palatably unpalatably
palingenesis cenogenesis
palingenetic cenogenetic
palpability impalpability
palpable impalpable
pant dress
pant skirt
paper_loss paper_profit
paper_profit paper_loss
par putt
paradigmatic syntagmatic
parallel oblique
parallel perpendicular
parallel_operation serial_operation
parallelogram trapezium
paranormal normal
parasite host
pardonable unpardonable
pardonably unpardonably
parent child
parental filial
parented unparented
park swerve
parole deport
part-time full-time
partial impartial
partiality impartiality
participate boycott
participation nonparticipation
particular general
particular universal
particular_proposition universal_proposition
particularity generality
particulate nonparticulate
partisan nonpartisan
partly wholly
pass fail
pass rush
passable impassable
passerine nonpasserine
passing failing
passing running
passionate passionless
passionless passionate
passive active
passive_trust active_trust
passive_voice active_voice
passively actively
past future
past present
pastness futurity
pastness presentness
pat clap
pat hug
pat slap
pat tone
paternal maternal
patience impatience
patient impatient
patiently impatiently
patriarchal matriarchal
patriotic unpatriotic
patriotically unpatriotically
patrol attack
patrol cross
patronise boycott
patronize boycott
patronized unpatronized
patterned plain
paved unpaved
pay receive
pay_cash charge
pay_up default
payment nonpayment
peace war
peaceful unpeaceful
peddle use
pedunculate sessile
peel fry
peel squeeze
peg boost
penalize reward
penalty reward
penetrability impenetrability
penetrable impenetrable
penitent impenitent
penitently impenitently
perceive ignore
perceive tolerate
perceptibility imperceptibility
perceptible imperceptible
perceptibly imperceptibly
perceptive unperceptive
perceptiveness unperceptiveness
perennial annual
perennial biennial
perfect imperfect
perfectibility imperfectibility
perfection imperfection
perfectly imperfectly
perform singe
periapsis apoapsis
perigee apogee
perihelion aphelion
perijove apojove
perilune apolune
perinatal postnatal
perinatal prenatal
periodic aperiodic
peripheral central
peripherally centrally
peripteral apteral
periselene aposelene
perishable imperishable
peristalsis anastalsis
permanence impermanence
permanent impermanent
permanently temporarily
permeability impermeability
permeable impermeable
permissibility impermissibility
permissible impermissible
permissibly impermissibly
permissive preventive
permissive unpermissive
permissiveness unpermissiveness
permit ban
permit bar
permit block
permit forbid
permit outlaw
permit preclude
permit prevent
permit prohibit
perpendicular oblique
perpendicular parallel
perpetuate subvert
perplexed unperplexed
persistent caducous
personal impersonal
personalise depersonalise
personalize depersonalize
personally impersonally
persuade appease
persuade dissuade
persuade placate
persuasion dissuasion
persuasive dissuasive
persuasiveness unpersuasiveness
pervert obstruct
pervious impervious
perviousness imperviousness
pessimism optimism
pessimist optimist
pessimistic optimistic
pessimistically optimistically
petalous apetalous
petit_larceny grand_larceny
phase_in phase_out
phase_out phase_in
philogyny misogyny
phlegmy dry
phone fax
photograph found
photograph scan
photosynthetic nonphotosynthetic
physical mental
pianissimo fortissimo
piano forte
picket blockade
pickle blanch
pickle butter
piece slice
piety impiety
pigeon-toed splayfooted
pigmentation depigmentation
pin unpin
pious impious
pitch get
pitch retire
pitch walk
placable implacable
placate antagonize
placate dissuade
placate persuade
placental aplacental
plague affect
plain fancy
plain patterned
plaintiff defendant
plan postpone
planar cubic
planar linear
planned unplanned
planted unplanted
plantigrade digitigrade
plantigrade_mammal digitigrade_mammal
platyrrhine catarrhine
platyrrhine leptorrhine
plausibility implausibility
plausible implausible
play coach
play get
play rout
play_down play_up
play_up play_down
playable unplayable
playful unplayful
pleasant unpleasant
pleasantly unpleasantly
pleasantness unpleasantness
please anger
please disappoint
please displease
pleased displeased
pleasing displeasing
pleasingness unpleasingness
pleasure pain
pleasure_principle reality_principle
pleurocarp acrocarp
pleurocarpous acrocarpous
plough hoe
plowed unplowed
plucked bowed
plug_in unplug
plural singular
pluralism monism
plus minus
poach fry
point_of_apoapsis point_of_periapsis
point_of_periapsis point_of_apoapsis
pointed pointless
pointedness unpointedness
pointless pointed
poke bash
poke shake
polar equatorial
police arm
polished unpolished
polite impolite
politely impolitely
politeness impoliteness
politic impolitic
political nonpolitical
political_correctness political_incorrectness
political_incorrectness political_correctness
pollute endanger
polychromatic monochromatic
polygamous monogamous
polyphonic monophonic
polyphonic_music monophonic_music
polyphony monophony
polyploid diploid
polyploid haploid
polysemy monosemy
polytheism monotheism
polytheistic monotheistic
polyvalent monovalent
ponderable imponderable
pool diversify
poor rich
poor_people rich_people
pop_in pop_out
pop_out pop_in
popular unpopular
popularity unpopularity
porosity solidity
porous nonporous
portable unportable
posed unposed
positive negative
positive neutral
positive_charge negative_charge
positiveness negativeness
positivity negativity
possess need
possibility impossibility
possible impossible
possibly impossibly
postdate predate
posterior anterior
posteriority anteriority
posteriority priority
postmeridian antemeridian
postmortem antemortem
postnatal perinatal
postnatal prenatal
postnuptial prenuptial
postpone approve
postpone discuss
postpone expedite
postpone plan
postpone welcome
postprandial preprandial
postwar prewar
potence impotence
potency impotency
potent impotent
potential actual
potted unpotted
pour pump
pour spray
poverty wealth
powder chop
powder mince
power powerlessness
power_mower hand_mower
powered unpowered
powerful powerless
powerfulness powerlessness
powerless powerful
powerlessness power
powerlessness powerfulness
practicability impracticability
practicableness impracticableness
practical impractical
practicality impracticality
practise inculcate
praise accuse
praise assail
praise criticize
praise denounce
praise emphasize
praise outline
praise reiterate
praise urge
pray clutch
precede follow
precede succeed
precedented unprecedented
precedentedly unprecedentedly
preceding succeeding
precipitate trigger
precipitate worsen
precise imprecise
precisely imprecisely
preciseness impreciseness
precision imprecision
preclude allow
preclude authorize
preclude encourage
preclude facilitate
preclude permit
preclude prohibit
preclude require
precocial altricial
precocious retarded
predate postdate
predicative attributive
predictability unpredictability
predictable unpredictable
prefer crave
prefer dislike
prefer like
prefer shun
prefer try
prefix suffix
pregnant nonpregnant
prehensile nonprehensile
prejudge judge
prejudice preempt
prejudice undermine
prejudiced unprejudiced
premature full-term
premeditated unpremeditated
premiere air
premiere film
prenatal perinatal
prenatal postnatal
prenuptial postnuptial
preparation resolution
prepared unprepared
prepay refinance
preprandial postprandial
prescription nonprescription
prescription_drug over-the-counter_drug
prescription_medicine over-the-counter_medicine
prescriptive descriptive
prescriptive_linguistics descriptive_linguistics
presence absence
present absent
present future
present past
presentness futurity
presentness pastness
preserved destroyed
preserved fresh
presidential unpresidential
pressure caution
pressure discourage
pressure sack
pressurise depressurise
pressurize depressurize
presume infer
pretentious unpretentious
pretentiously unpretentiously
pretentiousness unpretentiousness
prevent cause
prevent let
prevent permit
preventable unpreventable
preventive permissive
prewar postwar
pride humility
priestly unpriestly
primarily secondarily
primary secondary
principled unprincipled
print serialize
printable unprintable
priority posteriority
private public
privately publicly
privatize nationalize
privatize overhaul
privatize upgrade
privileged underprivileged
pro anti
pro con
pro-American anti-American
pro-choice pro-life
pro-life pro-choice
proactive retroactive
probability improbability
probable improbable
procaryotic eucaryotic
processed unprocessed
prod punish
produce import
productive unproductive
productively unproductively
productiveness unproductiveness
profane sacred
profess espouse
professional amateur
professional nonprofessional
professional unprofessional
profit break_even
profit lose
profitability unprofitability
profitable unprofitable
profitableness unprofitableness
profitably unprofitably
profound superficial
profundity superficiality
prognathous opisthognathous
programme broadcast
progress regress
progressive regressive
prohibit allow
prohibit authorize
prohibit exempt
prohibit legalize
prohibit permit
prohibit preclude
prohibit require
prokaryote eukaryote
prokaryotic eukaryotic
prolate oblate
proliferation non-proliferation
proliferation nonproliferation
prolix concise
prolong cause
prolong hamper
prolong hasten
prolong provoke
prolong resolve
prolong resume
prolong terminate
prominence obscurity
promise oppose
promote demote
promotion demotion
prompt exacerbate
promulgate legislate
pronation supination
pronounceable unpronounceable
propel hurt
proper improper
proper_noun common_noun
properly improperly
properness improperness
prophetic unprophetic
propitious unpropitious
propitiously unpropitiously
propitiousness unpropitiousness
proportion disproportion
proportional_font fixed-width_font
proportionate disproportionate
proportionately disproportionately
propose enact
propose favor
propose oppose
propose recommend
propose urge
proprietary nonproprietary
propriety impropriety
prosecute defend
prosecute deport
prosecute exonerate
prosecute extradite
prosecution defense
prospective retrospective
protect destroy
protected unprotected
protective unprotective
protest accept
protest applaud
protest reject
protrusive intrusive
proud humble
prove disprove
proved unproved
provide earmark
providence improvidence
provident improvident
providently improvidently
provincial cosmopolitan
provocative unprovocative
provoke cause
provoke defuse
provoke exacerbate
proximal distal
proximate ultimate
prudence imprudence
prudent imprudent
prudently imprudently
psychoactive nonpsychoactive
psychotic_depression neurotic_depression
public private
publicized suppressed
publicly privately
publish reissue
publishable unpublishable
published unpublished
pull keep
pull knock
pull push
pull wear
pull_in pull_out
pull_out pull_in
pump divert
pump drain
pump inject
pump pour
punch grab
punch hug
punch swing
punch_in punch_out
punch_out punch_in
punctual unpunctual
punctuality tardiness
puncturable punctureless
punctureless puncturable
punish forgive
punish reward
punished unpunished
punitive rehabilitative
purchase build
purchase donate
purchase lease
purchase manufacture
purchase sell
pure impure
purebred crossbred
purge rehabilitate
purifying adulterating
purity impurity
purposeful purposeless
purposefulness purposelessness
purposeless purposeful
purposelessness purposefulness
pursue abandon
pursue reject
push pull
put_option call_option
putt hole
putt par
pyretic antipyretic
quadruped biped
quadrupedal bipedal
qualified unqualified
qualify disqualify
qualify finish
qualitative quantitative
quantitative accentual
quantitative qualitative
quantitative syllabic
quash dismiss
quash uphold
queen king
quell calm
quell dispel
quell intensify
question answer
question assail
questionable unquestionable
quickly slowly
quiet active
quiet noisy
quiet unquiet
quieten louden
quietly noisily
quietly unquietly
quit bolt
quit rejoin
quit resign
quotable unquotable
racial nonracial
radial_asymmetry radial_symmetry
radial_symmetry radial_asymmetry
radical cauline
radioactive nonradioactive
radiolucent radiopaque
radiopaque radiolucent
raid guard
raid inspect
rainy_season dry_season
raise level
raise lower
raised lowered
rally dip
rally drop
rally fall
